cluster index	componentindex
1	1
2	1
3	1
4	2
5	1087
6	1
7	3
8	47
9	1
10	1
11	7
12	4
13	1088
14	1
15	5
16	1
17	1
18	6
19	1
20	7
21	859
22	1
23	305
24	1
25	1
26	1
27	8
28	1
30	1
31	9
32	10
33	11
34	1
35	1
36	1
37	859
38	8
39	770
40	3
41	17
42	15
43	1051
44	9
46	12
47	13
48	14
49	15
50	572
52	860
54	89
55	16
56	770
57	17
58	14
60	25
62	3
63	12
64	18
65	1
66	1
67	9
69	19
70	13
71	26
72	1
74	13
75	950
76	710
77	513
78	18
80	31
81	20
82	21
83	22
86	17
87	15
88	303
89	13
91	861
92	862
93	20
94	441
95	34
96	53
97	15
98	21
100	23
102	15
103	4
104	1
107	89
108	24
109	18
110	13
111	15
112	25
113	26
114	4
116	15
117	15
