feature_id	rt	mz	adduct	sample
7	0.14134017	353.90127655423373		191105_AR_Ginkgo_Pos.mzML
7	0.14134017	353.90127655423373		191105_AR_Arnica_Pos.mzML
7	0.14134017	353.90127655423373		191105_AR_Cinchona_Pos.mzML
7	0.14134017	353.90127655423373		191105_AR_Salvia_Pos.mzML
8	0.124542356	365.9029388199856		191105_AR_Panax_Pos.mzML
8	0.124542356	365.9029388199856		191105_AR_Ginkgo_Pos.mzML
8	0.124542356	365.9029388199856		191105_AR_Cinchona_Pos.mzML
8	0.124542356	365.9029388199856		191105_AR_Salvia_Pos.mzML
13	0.1604738	338.9902742220456		191105_AR_Panax_Pos.mzML
13	0.1604738	338.9902742220456		191105_AR_Ginkgo_Pos.mzML
13	0.1604738	338.9902742220456		191105_AR_Cinchona_Pos.mzML
13	0.1604738	338.9902742220456		191105_AR_Salvia_Pos.mzML
14	0.16336419	160.02766093545307		191105_AR_Panax_Pos.mzML
14	0.16336419	160.02766093545307		191105_AR_Ginkgo_Pos.mzML
14	0.16336419	160.02766093545307		191105_AR_Cinchona_Pos.mzML
14	0.16336419	160.02766093545307		191105_AR_Salvia_Pos.mzML
15	0.16059296	354.9676897529006		191105_AR_Panax_Pos.mzML
15	0.16059296	354.9676897529006		191105_AR_Ginkgo_Pos.mzML
15	0.16059296	354.9676897529006		191105_AR_Cinchona_Pos.mzML
15	0.16059296	354.9676897529006		191105_AR_Salvia_Pos.mzML
17	0.16480626	165.00662930134564		191105_AR_Panax_Pos.mzML
17	0.16480626	165.00662930134564		191105_AR_Ginkgo_Pos.mzML
17	0.16480626	165.00662930134564		191105_AR_Cinchona_Pos.mzML
17	0.16480626	165.00662930134564		191105_AR_Salvia_Pos.mzML
35	0.16623166	192.06162014595125		191105_AR_Panax_Pos.mzML
35	0.16623166	192.06162014595125		191105_AR_Ginkgo_Pos.mzML
35	0.16623166	192.06162014595125		191105_AR_Cinchona_Pos.mzML
35	0.16623166	192.06162014595125		191105_AR_Salvia_Pos.mzML
39	0.16335876	206.03303100171843		191105_AR_Panax_Pos.mzML
39	0.16335876	206.03303100171843		191105_AR_Ginkgo_Pos.mzML
39	0.16335876	206.03303100171843		191105_AR_Cinchona_Pos.mzML
39	0.16335876	206.03303100171843		191105_AR_Salvia_Pos.mzML
46	0.1675683	280.99412083859306		191105_AR_Ginkgo_Pos.mzML
46	0.1675683	280.99412083859306		191105_AR_Arnica_Pos.mzML
46	0.1675683	280.99412083859306		191105_AR_Cinchona_Pos.mzML
46	0.1675683	280.99412083859306		191105_AR_Salvia_Pos.mzML
55	0.16623166	213.01818117979383		191105_AR_Panax_Pos.mzML
55	0.16623166	213.01818117979383		191105_AR_Ginkgo_Pos.mzML
55	0.16623166	213.01818117979383		191105_AR_Cinchona_Pos.mzML
55	0.16623166	213.01818117979383		191105_AR_Salvia_Pos.mzML
64	0.17734122	175.11864105298326		191105_AR_Panax_Pos.mzML
64	0.17734122	175.11864105298326		191105_AR_Arnica_Pos.mzML
67	0.28859678	319.16007641952		191105_AR_Panax_Pos.mzML
67	0.28859678	319.16007641952		191105_AR_Ginkgo_Pos.mzML
67	0.28859678	319.16007641952		191105_AR_Arnica_Pos.mzML
68	0.17734122	337.1712765999403		191105_AR_Panax_Pos.mzML
68	0.17734122	337.1712765999403		191105_AR_Arnica_Pos.mzML
72	0.1727815	499.22288869439467		191105_AR_Panax_Pos.mzML
74	0.17715251	218.04225962987556		191105_AR_Panax_Pos.mzML
74	0.17715251	218.04225962987556		191105_AR_Ginkgo_Pos.mzML
74	0.17715251	218.04225962987556		191105_AR_Arnica_Pos.mzML
74	0.17715251	218.04225962987556		191105_AR_Salvia_Pos.mzML
75	0.18806732	342.13887265121286		191105_AR_Panax_Pos.mzML
75	0.18806732	342.13887265121286		191105_AR_Ginkgo_Pos.mzML
75	0.18806732	342.13887265121286		191105_AR_Arnica_Pos.mzML
75	0.18806732	342.13887265121286		191105_AR_Salvia_Pos.mzML
86	0.18187779	266.1595249869153		191105_AR_Panax_Pos.mzML
86	0.18187779	266.1595249869153		191105_AR_Arnica_Pos.mzML
86	0.18187779	266.1595249869153		191105_AR_Cinchona_Pos.mzML
86	0.18187779	266.1595249869153		191105_AR_Salvia_Pos.mzML
88	0.17886491	380.09491936558715		191105_AR_Panax_Pos.mzML
88	0.17886491	380.09491936558715		191105_AR_Ginkgo_Pos.mzML
88	0.17886491	380.09491936558715		191105_AR_Arnica_Pos.mzML
89	0.18876317	180.08632592756163		191105_AR_Panax_Pos.mzML
89	0.18876317	180.08632592756163		191105_AR_Arnica_Pos.mzML
89	0.18876317	180.08632592756163		191105_AR_Cinchona_Pos.mzML
89	0.18876317	180.08632592756163		191105_AR_Salvia_Pos.mzML
