structure_name	structure_inchikey	structure_smiles	structure_inchikey_2D	structure_smiles_2D	structure_molecular_formula	structure_exact_mass	structure_xlogp	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	structure_taxonomy_classyfire_chemontid	structure_taxonomy_classyfire_01kingdom	structure_taxonomy_classyfire_02superclass	structure_taxonomy_classyfire_03class	structure_taxonomy_classyfire_04directparent	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	reference_doi
1-Methylhistidine	BRMWTNUJHUMWMS-LURJTMIESA-N	[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C1=C([H])N(C([H])=N1)C([H])([H])[H]	BRMWTNUJHUMWMS		C7H11N3O2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
1,3-Diaminopropane	XFNJVJPLKCPIBV-UHFFFAOYSA-N	NCCCN	XFNJVJPLKCPIBV		C3H10N2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
2-Ketobutyric acid	TYEYBOSBBBHJIV-UHFFFAOYSA-N	CCC(=O)C(O)=O	TYEYBOSBBBHJIV		C4H6O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
2-Hydroxybutyric acid	AFENDNXGAFYKQO-VKHMYHEASA-N	[H]OC(=O)[C@@]([H])(O[H])C([H])([H])C([H])([H])[H]	AFENDNXGAFYKQO		C4H8O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
2-Methoxyestrone	WHEUWNKSCXYKBU-QPWUGHHJSA-N	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3	WHEUWNKSCXYKBU		C19H24O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
3-Hydroxybutyric acid	WHBMMWSBFZVSSR-GSVOUGTGSA-N	C[C@@H](O)CC(O)=O	WHBMMWSBFZVSSR		C4H8O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Deoxyuridine	MXHRCPNRJAMMIM-SHYZEUOFSA-N	OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O	MXHRCPNRJAMMIM		C9H12N2O5											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Deoxycytidine	CKTSBUTUHBMZGZ-SHYZEUOFSA-N	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	CKTSBUTUHBMZGZ		C9H13N3O4											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Cortexolone	WHBHBVVOGNECLV-OBQKJFGGSA-N	[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	WHBHBVVOGNECLV		C21H30O4											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Deoxycorticosterone	ZESRJSPZRDMNHY-YFWFAHHUSA-N	[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	ZESRJSPZRDMNHY		C21H30O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
4-Pyridoxic acid	HXACOUQIXZGNBF-UHFFFAOYSA-N	CC1=NC=C(CO)C(C(O)=O)=C1O	HXACOUQIXZGNBF		C8H9NO4											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
alpha-Ketoisovaleric acid	QHKABHOOEWYVLI-UHFFFAOYSA-N	CC(C)C(=O)C(O)=O	QHKABHOOEWYVLI		C5H8O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
p-Hydroxyphenylacetic acid	XQXPVVBIMDBYFF-UHFFFAOYSA-N	OC(=O)CC1=CC=C(O)C=C1	XQXPVVBIMDBYFF		C8H8O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
