structure_name	structure_inchikey	structure_smiles	structure_inchikey_no_stereo	structure_smiles_no_stereo	structure_molecular_formula	structure_exact_mass	structure_xlogp	structure_tax_npc_01pat	structure_tax_npc_02sup	structure_tax_npc_03cla	structure_tax_cla_chemontid	structure_tax_cla_01kin	structure_tax_cla_02sup	structure_tax_cla_03cla	structure_tax_cla_04dirpar	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	reference_doi
Cholesterol	HVYWMOMLDIMFJA-DPAQBDIFSA-N	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	HVYWMOMLDIMFJA	CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	C27H46O	386.35487	7.3887	Terpenoids	Steroids	Cholestane steroids	0001469	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholesterols and derivatives	Kalanchoe daigremontiana	7978	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae		Kalanchoe	Kalanchoe daigremontiana		10.1016/0031-9422(90)85251-A
beta-Sitosterol acetate	PBWOIPCULUXTNY-LBKBYZTLSA-N	CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(C)=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	PBWOIPCULUXTNY	CCC(CCC(C)C1CCC2C3CC=C4CC(OC(C)=O)CCC4(C)C3CCC12C)C(C)C	C31H52O2	456.39673	8.5956	Terpenoids	Steroids	Cholestane steroids	0001553	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Kalanchoe daigremontiana	7978	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae		Kalanchoe	Kalanchoe daigremontiana		10.1016/0031-9422(90)85251-A
beta-Sitosterol acetate	PBWOIPCULUXTNY-LBKBYZTLSA-N	CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(C)=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	PBWOIPCULUXTNY	CCC(CCC(C)C1CCC2C3CC=C4CC(OC(C)=O)CCC4(C)C3CCC12C)C(C)C	C31H52O2	456.39673	8.5956	Terpenoids	Steroids	Stigmastane steroids	0001553	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Kalanchoe daigremontiana	7978	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae		Kalanchoe	Kalanchoe daigremontiana		10.1016/0031-9422(90)85251-A
Beta-Sitosterol	KZJWDPNRJALLNS-VJSFXXLFSA-N	CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	KZJWDPNRJALLNS	CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	C29H50O	414.38617	8.0248	Terpenoids	Steroids	Stigmastane steroids	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Kalanchoe daigremontiana	7978	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae		Kalanchoe	Kalanchoe daigremontiana		10.1016/0031-9422(90)85251-A
24-Methylenecholesterol	INDVLXYUCBVVKW-PXBBAZSNSA-N	C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C	INDVLXYUCBVVKW	C=C(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	C28H46O	398.35487	7.5548	Terpenoids	Steroids	Ergostane steroids	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives	Kalanchoe daigremontiana	7978	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae		Kalanchoe	Kalanchoe daigremontiana		10.1016/0031-9422(90)85251-A
24,24-Dimethyl-25,26-didehydrocholesterol	CGUJNZGCCXPWEZ-OHPSOFBHSA-N	C=C(C)C(C)(C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	CGUJNZGCCXPWEZ	C=C(C)C(C)(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	C29H48O	412.37052	7.9449	Terpenoids	Steroids	Cholestane steroids	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives	Kalanchoe daigremontiana	7978	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae		Kalanchoe	Kalanchoe daigremontiana		10.1016/0031-9422(90)85251-A
24,24-Dimethyl-25,26-didehydrocholesterol	CGUJNZGCCXPWEZ-OHPSOFBHSA-N	C=C(C)C(C)(C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	CGUJNZGCCXPWEZ	C=C(C)C(C)(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	C29H48O	412.37052	7.9449	Terpenoids	Steroids	Ergostane steroids	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives	Kalanchoe daigremontiana	7978	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae		Kalanchoe	Kalanchoe daigremontiana		10.1016/0031-9422(90)85251-A
Clerosterol	GHGKPLPBPGYSOO-FBZNIEFRSA-N	C=C(C)[C@@H](CC)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	GHGKPLPBPGYSOO	C=C(C)C(CC)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	C29H48O	412.37052	7.9449	Terpenoids	Steroids	Cholestane steroids	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Kalanchoe daigremontiana	7978	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae		Kalanchoe	Kalanchoe daigremontiana		10.1016/0031-9422(90)85251-A
Clerosterol	GHGKPLPBPGYSOO-FBZNIEFRSA-N	C=C(C)[C@@H](CC)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	GHGKPLPBPGYSOO	C=C(C)C(CC)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	C29H48O	412.37052	7.9449	Terpenoids	Steroids	Stigmastane steroids	0002031	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	Kalanchoe daigremontiana	7978	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae		Kalanchoe	Kalanchoe daigremontiana		10.1016/0031-9422(90)85251-A
24-Methylene,25-methylcholesta-5-en-3beta-ol	QXDHYSHOINNEAZ-HSIBUNQISA-N	C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)(C)C	QXDHYSHOINNEAZ	C=C(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)(C)C	C29H48O	412.37052	7.9449	Terpenoids	Steroids	Ergostane steroids	0001403	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergosterols and derivatives	Kalanchoe daigremontiana	7978	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae		Kalanchoe	Kalanchoe daigremontiana		10.1016/0031-9422(90)85251-A
