organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas
Escherichia coli	474506	Bacteria	notClassified	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	notClassified	notClassified	Escherichia coli	notClassified
Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	notClassified	Homo	Homo sapiens	notClassified
Kalanchoe daigremontiana	7978	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae	notClassified	Kalanchoe	Kalanchoe daigremontiana	notClassified
Cuscuta campestris	839684	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta campestris	notClassified
Cuscuta pentagona	501898	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Cuscuteae	Cuscuta	Cuscuta pentagona	notClassified
Monotropa uniflora	539588	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa uniflora	notClassified
Hypopitys monotropa	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys	notClassified
Monotropa hypopitys	824795	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Monotropeae	Monotropa	Monotropa hypopitys	notClassified
Thuidium tamariscinum	797126	Eukaryota	Archaeplastida	Streptophyta	Bryopsida	Hypnales	Thuidiaceae	notClassified	Thuidium	Thuidium tamariscinum	notClassified
Brotherella henonii	341133	Eukaryota	Archaeplastida	Streptophyta	Bryopsida	Hypnales	Pylaisiadelphaceae	notClassified	Brotherella	Brotherella henonii	notClassified
Hypnum plumaeforme	357323	Eukaryota	Archaeplastida	Streptophyta	Bryopsida	Hypnales	Pylaisiaceae	notClassified	Insomniella	Insomniella plumaeforme	notClassified
Campylopus richardii	1008665	Eukaryota	Archaeplastida	Streptophyta	Bryopsida	Dicranales	Leucobryaceae	notClassified	Campylopus	Campylopus richardii	notClassified
