structure_inchikey	structure_smiles	structure_molecular_formula	structure_exact_mass	structure_xlogp
TYEYBOSBBBHJIV-UHFFFAOYSA-N	CCC(=O)C(O)=O	C4H6O3	102.03169	0.76641
MXHRCPNRJAMMIM-SHYZEUOFSA-N	OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O	C9H12N2O5	228.07462	-1.5146
CKTSBUTUHBMZGZ-SHYZEUOFSA-N	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	C9H13N3O4	227.09061	-1.89688
QHKABHOOEWYVLI-UHFFFAOYSA-N	CC(C)C(=O)C(O)=O	C5H8O3	116.04734	1.3094
DBXBTMSZEOQQDU-UHFFFAOYSA-N	CC(CO)C(O)=O	C4H8O3	104.04734	-0.26059
JSJWCHRYRHKBBW-UHFFFAOYSA-N	NC(=O)NCCC(O)=O	C4H8N2O3	132.05349	-1.42516
YBJHBAHKTGYVGT-ZKWXMUAHSA-N	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2	C10H16N2O3S	244.08816	0.31942
GFFGJBXGBJISGV-UHFFFAOYSA-N	NC1=C2NC=NC2=NC=N1	C5H5N5	135.0545	-0.57347
FERIUCNNQQJTOY-UHFFFAOYSA-N	CCCC(O)=O	C4H8O2	88.05243	0.92176
QTBSBXVTEAMEQO-UHFFFAOYSA-N	CC(O)=O	C2H4O2	60.02113	-0.22335
CIWBSHSKHKDKBQ-JLAZNSOCSA-N	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO	C6H8O6	176.03209	-1.91356
UDMBCSSLTHHNCD-KQYNXXCUSA-N	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	C10H14N5O7P	347.06308	-4.78829
DLRVVLDZNNYCBX-ABXHMFFYSA-N	OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O	C12H22O11	342.11621	-4.70337
OIRDTQYFTABQOQ-KQYNXXCUSA-N	NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1	C10H13N5O4	267.09675	-2.09096
QGZKDVFQNNGYKY-UHFFFAOYSA-N	N	H3N	17.02655	-0.978
GUBGYTABKSRVRQ-QRZGKKJRSA-N	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	C12H22O11	342.11621	-4.70337
UCMIRNVEIXFBKS-UHFFFAOYSA-N	NCCC(O)=O	C3H7NO2	89.04768	-3.17359
IVOMOUWHDPKRLL-KQYNXXCUSA-N	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O	C10H12N5O6P	329.05252	-3.81562
WDJHALXBUFZDSR-UHFFFAOYSA-N	CC(=O)CC(O)=O	C4H6O3	102.03169	-0.00149
WHTCPDAXWFLDIH-KQYNXXCUSA-N	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O	C10H15N5O10P2	427.02941	-6.13101
PHIQHXFUZVPYII-UHFFFAOYSA-O	C[N+](C)(C)CC(O)CC(O)=O	C7H16NO3	162.11302	-4.88751
VGONTNSXDCQUGY-RRKCRQDMSA-N	OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CN=C2O	C10H12N4O4	252.08585	-0.66497
