feature_id	sample_organism_01_domain	sample_organism_02_kingdom	sample_organism_03_phylum	sample_organism_04_class	sample_organism_05_order	sample_organism_06_family	sample_organism_07_tribe	sample_organism_08_genus	sample_organism_09_species	sample_organism_10_varietas
1	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
10	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Apiales	Araliaceae	notClassified	Panax	Panax ginseng	notClassified
100	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1000	Eukaryota	Archaeplastida	Streptophyta	notClassified	Ginkgoales	Ginkgoaceae	notClassified	Ginkgo	Ginkgo biloba	notClassified
1001	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1002	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1003	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1004	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Apiales	Araliaceae	notClassified	Panax	Panax ginseng	notClassified
1005	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1006	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1007	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1008	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1009	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentheae	Salvia	Salvia officinalis	notClassified
101	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Apiales	Araliaceae	notClassified	Panax	Panax ginseng	notClassified
1010	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1011	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1012	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
