row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,191105_AR_Panax_Pos.mzML Peak area,191105_AR_Ginkgo_Pos.mzML Peak area,191105_AR_Arnica_Pos.mzML Peak area,191105_AR_Cinchona_Pos.mzML Peak area,191105_AR_Salvia_Pos.mzML Peak area,
14,160.02766093545307,0.16336419,,,,295,,,,,,,10106.329,144440.66,2875.3462,7258.2534,37809.42,
1804,160.03439827736892,0.776384,,,,389,,,,,,,12691.924,42729.82,28089.883,34615.21,370981.97,
914,160.0344104191159,0.5971811,,,,,,,,,,,67761.71,42729.82,232254.44,31361.682,23192.695,
11596,161.055611248241,4.448839,,,,923,626,[M-H+2Na]+,,2,11615;11596,116.08406,5219.882,0,1780.3702,0,0,
5655,163.13272246242798,2.3922107,,,,704,295,[M+H]+,,2,5652;5648,162.12547,13172.362,9148.9,10969.393,28266.064,6929.0195,
4310,164.1068950549167,1.8842504,,,,259,,,,,,,0,0,0,2112492.0,0,
1651,164.10691139480045,0.82995576,,,,387,,,,,,,0,0,0,1480297.5,0,
3904,164.10692720251956,1.7522597,,,,517,,,,,,,0,0,0,356704.6,0,
8550,164.10693018330738,3.4061396,,,,836,,,,,,,0,0,0,192598.92,0,
5152,164.10699942003458,2.206069,,,,661,,,,,,,0,0,0,187110.94,0,
5288,165.00256300722012,2.4339585,,,,,,,,,,,51458.25,5500.082,1974.8206,6647.1,3912.1743,
17,165.00662930134564,0.16480626,,,,295,,,,,,,14318.525,74531.21,2890.294,8335.247,19157.107,
501,165.0542823692454,0.24503034,,,,295,14,[M+H]+,,1,508,164.04706,57804.355,0,29396.07,0,0,
810,166.08612667595085,0.42566794,,,,114,,,,,,,505432.8,10225.168,723251.06,0,7330.9873,
655,166.12270738792347,0.30527607,,,,264,,,,,,,0,81009.72,0,0,0,
811,167.08929529436784,0.42579052,,,,114,,,,,,,53316.23,0,74402.37,0,0,
9670,167.10646741498678,3.7932856,,,,836,523,[M+H-H2O]+,,2,9670;9711,184.10986,0,0,0,0,6447.422,
8325,167.10689105697716,3.3299263,,,,836,448,[M+H-H2O]+,,2,8325;8361,184.11023,0,0,0,0,47555.61,
353,168.01969272602207,0.20989886,,,,295,,,,,,,305891.75,1604774.0,53182.71,207232.11,446131.84,
868,168.13807113864382,0.454073,,,,131,,,,,,,0,0,0,213685.75,0,
8800,169.12218296093405,3.4544797,,,,836,,,,,,,0,0,0,0,41081.57,
869,169.1414133752811,0.454073,,,,131,,,,,,,0,0,0,21597.082,0,
9353,170.08931350753792,3.6684544,,,,840,,,,,,,0,0,0,53924.188,0,
